ply
format ascii 1.0
element vertex 10943
property float x
property float y
property float z
element face 0
property list uchar int vertex_indices
property list uchar float texcoord
end_header
 142.6796 -148.99510091661026 59.47189529334048
 142.6796 -128.42373123033255 52.263201887031755
 142.6796 -104.61765625018353 16.275437144090375
 142.6796 -121.02972650951202 43.73871364617702
 142.6796 -168.52496398964982 129.11563616879837
 142.6796 -165.77872250465526 143.2752225003991
 142.6796 -210.84063850284153 224.22303243608172
 142.6796 -282.68969818422204 353.4126428327093
 142.6796 123.41855220135324 -25.187833491491887
 142.6796 216.01079292414497 106.61627979749937
 142.6796 -150.59113664231515 58.25016461562936
 142.6796 -129.29498604811477 56.13045026704779
 142.6796 -106.28469830611638 21.024190604368584
 142.6796 -134.58707879254646 83.2356114856085
 142.6796 -165.75845432464175 125.99405986828091
 142.6796 -160.3232210719088 128.4291196918937
 142.6796 -195.17456362767575 195.5607626214501
 142.6796 -254.2258164280248 303.51753296490887
 142.6796 -368.6358282903964 514.3405005405485
 143.5749 218.8673338515056 115.76244215947833
 143.5749 -146.18954741215347 60.40503295847736
 143.5749 -133.03004835955596 49.45713735662429
 143.5749 -102.33530689719767 11.949600080812075
 143.5749 -112.05425971586304 34.89740820611701
 143.5749 -174.77641177122263 143.3561350023771
 143.5749 -159.05699768003896 130.05504842163703
 143.5749 -196.20036420422701 198.2934750240932
 143.5749 -247.64525222032267 291.3534373416985
 143.5749 -338.8190994441599 458.8666483635479
 144.4709 165.86435923463105 35.64911570601848
 144.4709 190.55011655983813 71.25645169609928
 144.4709 239.6814596824715 147.21112903161165
 144.4709 -146.32053374071404 63.11235249652586
 144.4709 -126.91578136219269 49.013745743309784
 144.4709 -134.5192359727275 60.1691250480028
 144.4709 -123.23165332679532 46.960384529185575
 144.4709 -139.42840334209535 76.27409896646344
 144.4709 -158.2858645400765 109.6784903837902
 144.4709 -186.3510350816263 158.98660738348715
 144.4709 -132.88099930651958 92.22627808675841
 144.4709 -162.58820302894313 139.4119342726692
 144.4709 -196.38191470170864 197.76373284656958
 144.4709 -239.02978593694482 278.91007170844966
 144.4709 -319.1511004523353 423.26191046806184
 145.3669 136.9540738675567 -11.244286222332903
 145.3669 155.34528098579403 19.45127118068416
 145.3669 176.95806270735184 49.15906446906811
 145.3669 213.23465424553314 102.5052501096186
 146.2629 -130.10808945389925 45.72413777502007
 146.2629 -131.74779915563784 58.03197740135144
 146.2629 -105.64896330703868 18.572545137987674
 146.2629 -142.95152508309644 87.78966768200505
 146.2629 -164.79379879418238 120.55903981721579
 146.2629 -189.13386019944593 166.7557177417039
 146.2629 -138.4916762271157 92.19990858748963
 146.2629 -161.4161210802111 134.7472748930442
 146.2629 -191.91732515381597 186.5270022440006
 146.2629 -226.47299609453495 254.47112130083715
 146.2629 -280.51874801378955 355.0736561882485
 146.2629 131.7052274501619 -17.480342854390642
 146.2629 170.8934142964425 41.32899480763615
 146.2629 190.81957371928607 70.18695943817474
 146.2629 227.28753419966705 128.2577417143203
 147.1589 -128.179068943494 52.09213331388966
 147.1589 -107.11406012464732 22.00006541976518
 147.1589 -118.91080406383833 38.3667428616472
 147.1589 -143.93738026797175 83.6167428616472
 147.1589 -161.63012585018848 115.30273926850248
 147.1589 -156.76736537299703 123.73860522692954
 147.1589 -173.3970518768878 154.0324974959036
 147.1589 -197.59332833127715 202.44359387280028
 147.1589 -232.6554673336943 266.62096676342026
 147.1589 -287.2626219867035 365.64673818881613
 147.1589 127.31110444413581 -22.887997280597062
 147.1589 143.5837882103323 0.775404749535511
 147.1589 182.79231011390067 52.17591906658484
 147.1589 198.03609985949083 77.42431450395364
 147.1589 224.85459675221483 122.75841698555612
 148.0549 -147.75629095568692 52.8552642263644
 148.0549 -154.73096373575498 60.76809886685359
 148.0549 -127.60582071009904 55.05286166041657
 148.0549 -106.24275761479309 23.2264571630123
 148.0549 -115.1235423318252 39.69615911344388
 148.0549 -151.04581414435242 105.42241633322578
 148.0549 -169.41273661517653 136.3072168011081
 148.0549 -139.9645829766548 91.58110263303558
 148.0549 -156.06098585107972 126.33853772119286
 148.0549 -178.82398250814916 163.22631345101286
 148.0549 -202.2499867990909 208.65412192671567
 148.0549 -236.40160520060257 275.13991285255634
 148.0549 -283.47993890684813 359.5775048811834
 148.0549 -357.0794955987018 498.60731287348545
 148.0549 26.997103055035765 42.20549039487372
 148.9509 129.53445515250806 -21.55868934241272
 148.9509 169.3611215939286 41.065746931907114
 148.9509 188.46013513957607 67.1229628063345
 148.9509 213.8447053784826 105.45963620207957
 148.9509 259.6668446209304 178.54980325545722
 149.8469 -151.6846407465643 50.819995235070394
 149.8469 -154.74669450794306 60.67924028180926
 149.8469 -126.30485927817183 46.99781392674663
 149.8469 -132.59364133737887 54.18304744795918
 149.8469 -120.84022734336786 54.21056202437117
 149.8469 -145.86693040776296 90.01747175715545
 149.8469 -159.11424374580406 116.11245464992444
 149.8469 -176.60946104560622 147.11184969228805
 149.8469 -138.5481033792809 94.49084782434139
 149.8469 -152.01386270262543 117.10619789299014
 149.8469 -174.2574221347771 159.54796018878173
 149.8469 -196.8957690622544 200.69662034619586
 149.8469 -223.57245102507886 247.35370648120883
 149.8469 -260.3941961722667 319.3716603403476
 149.8469 -311.0483968358304 411.4240255334944
 149.8469 128.82273348687738 -22.75686774688137
 149.8469 141.88252134888307 -0.6857145804466995
 149.8469 154.877382203629 8.524583040012743
 149.8469 167.1656802514226 35.65345128860369
 149.8469 186.65823060126633 66.8239362473017
 149.8469 204.96196775720477 90.7607172139956
 149.8469 230.54695743998437 132.7037177715761
 149.8469 186.21745612852433 52.602691554332694
 150.7429 -155.01984287398741 54.50353487459776
 150.7429 -151.52771815056605 59.03247771673915
 151.6389 -126.03439623022548 49.055300735575514
 151.6389 -129.5378707309806 58.88721384110141
 151.6389 -108.85736124678472 24.700116386761664
 151.6389 -114.22639680691346 37.99420566413704
 151.6389 -126.98370313920906 52.473350415572185
 151.6389 -157.55233430079844 115.63836572646011
 151.6389 -194.26267481964354 178.98213042388215
 151.6389 -135.41872935788402 87.66049411732664
 151.6389 -150.61712012120944 114.08118473338428
 151.6389 -167.92592005166847 148.78497388843704
 151.6389 -190.3320557346678 184.32536385753227
 151.6389 -210.43629693934832 224.90369819591797
 151.6389 -239.42331536895614 281.5520133898234
 151.6389 -281.8483598818546 359.6950837540901
 151.6389 -346.6221422781402 480.7052705612989
 151.6389 131.5371179999274 -20.139918075216286
 151.6389 141.46606783077334 -3.083104601860441
 151.6389 154.02027074849252 6.66912791738477
 151.6389 172.11789544889575 31.460347421544554
 151.6389 177.33787192745095 43.97470204075094
 151.6389 191.58008478451478 72.89580201669585
 151.6389 213.51253212695997 100.84255727216981
 151.6389 244.96322613780822 152.31796019487308
 152.5349 -147.8344216172588 50.0727857453366
 152.5349 -149.49688566614947 60.400373155379185
 152.5349 -151.32446108166116 65.8396169821047
 152.5349 -132.31189295057078 49.40535152826391
 152.5349 -103.1200622323053 11.860393093568888
 152.5349 -92.15909571633628 -1.3196999666623697
 152.5349 -140.75218883915957 82.11039309356889
 152.5349 -163.72322201925434 124.82912977680422
 152.5349 -182.9041011138784 154.46950264969183
 152.5349 -134.88100105406184 92.70108559774411
 152.5349 -149.86309219999268 110.29868000820795
 152.5349 -169.63885541849052 148.57821731972015
 152.5349 -186.73188171545493 179.81155012918575
 152.5349 -204.54677663093813 218.15161050040876
 152.5349 -230.43593434539181 264.4006472779871
 152.5349 -262.7660549754402 325.53180473210705
 152.5349 -307.60158653188506 410.69242927435903
 153.4302 134.74887682417054 -17.76111902236147
 153.4302 149.16643593562264 0.5060969268790529
 153.4302 157.13527805735174 9.193564664295707
 153.4302 173.39291555721974 36.569173149465456
 153.4302 180.53123173455322 52.43925844073678
 153.4302 204.2495884139305 90.12053286650996
 153.4302 237.8848694828558 138.55043086267702
 153.4302 175.18570503896717 30.766930282383555
 154.3262 -149.21332899326077 60.84556901364198
 154.3262 -145.33267568930162 57.54375905565908
 154.3262 -155.1739528650098 64.47293637142579
 154.3262 -133.5591323841652 46.74556949313509
 154.3262 -130.27224543561925 59.20348491199243
 154.3262 -146.99660571832445 89.85785467155168
 154.3262 -108.44381596643319 32.39783943659316
 154.3262 -115.4765112307554 43.25082417176657
 154.3262 -126.96934482822739 61.039646881179266
 154.3262 -135.5679400096488 77.88077928301874
 154.3262 -140.85606324981384 96.85138338979746
 154.3262 -153.64087665942606 117.28047595643207
 154.3262 -178.1929374805795 155.17662839913146
 154.3262 -197.52740574292716 190.7718778870604
 154.3262 -225.09781917493774 240.42930276099423
 155.2222 403.57002198606415 504.9105133047481
 155.2222 121.8918410177332 -34.99945989789751
 155.2222 131.31984366142683 -23.766537068101456
 155.2222 143.28483218087592 -9.05731052301914
 155.2222 152.02892105463664 0.9353716730726944
 155.2222 172.6064193070034 30.91564530895954
 155.2222 184.2281253951638 56.827249269519626
 155.2222 192.1451884989041 74.42576360420236
 155.2222 222.13754397565515 115.86849118681434
 155.2222 228.75533599078355 127.91302508456408
 156.1182 -147.01968391229096 56.62411839231376
 156.1182 -150.58852422071107 56.57820288025164
 156.1182 -147.32114408438866 59.923032974615126
 156.1182 -150.2870391004897 67.31036023335147
 156.1182 -157.35468553097033 78.22399291741536
 156.1182 -126.69711787883708 48.9721728357967
 156.1182 -128.63199814180402 57.68859923827719
 156.1182 -120.6835859683506 38.351912533943306
 156.1182 -145.85742646416264 85.76352250372543
 156.1182 -105.19459745763388 25.076871958409015
 156.1182 -110.17701274162143 39.951836144883686
 156.1182 -119.42652313767984 61.571371048431075
 156.1182 -131.4608804917352 69.64427992362789
 156.1182 -137.1622425901303 89.06044982275188
 156.1182 -154.37630893454454 115.78759368412295
 156.1182 -165.17712603435157 138.92693561768775
 156.1182 -188.62563040739147 175.81221800463467
 156.1182 -208.82768447880952 212.84559374316402
 157.0142 385.8248717541475 505.9450238490658
 157.0142 396.16090833206624 503.61691254733773
 157.0142 399.57789929854226 502.8141512859718
 157.0142 408.98837883603983 499.9385173921751
 157.0142 412.18626706894463 499.6990956735316
 157.0142 415.38233745444086 498.8691218212086
 157.0142 118.96524345894022 -39.09190282051091
 157.0142 421.2603654320257 493.796501979603
