ply
format ascii 1.0
element vertex 9182
property float x
property float y
property float z
element face 0
property list uchar int vertex_indices
property list uchar float texcoord
end_header
 142.7832 -161.51610243359704 38.866106180472656
 142.7832 -148.27808854360893 32.672675715970655
 142.7832 164.36415581728812 60.11013765345723
 143.6792 -166.74065012158422 45.485447365328014
 143.6792 150.0983955955453 53.99175602807631
 144.5752 -164.25161524566232 38.222946212206324
 144.5752 -148.94671252390452 64.69859150764347
 144.5752 156.01579787851358 60.13817556520175
 144.5752 162.05854192768842 38.86428210181177
 145.4712 -168.04602861875713 33.4981388341657
 145.4712 -168.43773855645347 40.73391834057091
 145.4712 -148.17646380903807 34.97528529083513
 145.4712 165.39284866385464 57.605513342005196
 145.4712 156.01488701867063 33.74063049603609
 146.3672 -165.2868145014123 37.24672290151591
 146.3672 -163.99952289870157 44.22606240920578
 146.3672 -146.6621143810628 63.33699089656213
 146.3672 -148.3291268186159 66.77162904562852
 146.3672 158.0708928446307 60.698843417295706
 146.3672 160.79692783672542 58.46215147849907
 146.3672 149.64017571940934 29.003114520637865
 146.3672 157.79117132121252 43.3069152844769
 147.2632 -167.38736094471741 47.160412382818464
 147.2632 -143.51576062330122 35.365850052476645
 147.2632 -151.50076150323548 41.169491472717766
 147.2632 -143.2447623160778 59.64204500752595
 147.2632 157.0887257102669 63.66669982463716
 147.2632 158.15305686621838 63.59033882412058
 148.1592 -166.73237174355435 33.56715822652393
 148.1592 -165.39078450266243 49.168283958883734
 148.1592 -170.48436695013785 50.39248044691291
 148.1592 -146.97557513814655 36.194853437034254
 148.1592 -152.67553761153803 46.42657259511353
 149.9512 -164.3962397956107 34.180776706134026
 149.9512 -168.34982067761695 42.93518473483357
 149.9512 -143.0871758408269 41.878045227923394
 149.9512 -147.88235234024654 61.55951949170887
 149.9512 305.4978489047347 476.62282754096566
 149.9512 309.2606948620055 473.31692023823837
 149.9512 307.4905016412393 462.8026854975142
 149.9512 308.209658323055 452.63289625007536
 149.9512 309.64169349672045 447.7373101415262
