ply
format ascii 1.0
element vertex 14807
property float x
property float y
property float z
element face 0
property list uchar int vertex_indices
property list uchar float texcoord
end_header
 142.7454 -161.8520028649709 45.8400598039851
 142.7454 -136.9629066989054 40.62137457087175
 142.7454 -197.03590808235805 142.52122080910615
 142.7454 -259.45247776213773 241.94963853061483
 142.7454 -382.95065218410434 439.0825840266462
 142.7454 1.5605523794510072 47.999822710775845
 142.7454 104.0951315138899 -16.82410659216697
 142.7454 126.76105507002163 16.663781465781113
 142.7454 146.95899637379136 53.19446496577396
 142.7454 181.122382682903 113.46913940405136
 142.7454 159.52738068964257 48.12040520748164
 142.7454 190.5713836851213 111.24917036411395
 142.7454 -164.50680151936973 61.610490259226566
 142.7454 -143.5467881826764 41.96217153904743
 142.7454 -124.0360413500457 16.852974425783714
 142.7454 -163.13634920295505 86.33143068569262
 142.7454 -198.8730145011058 147.8362036163352
 142.7454 -258.235514342822 241.83143068569262
 142.7454 -360.10529291265146 403.27623631740204
 142.7454 -25.08591533878994 56.624025639840085
 142.7454 -1.0838026350757148 46.50225916157518
 143.6414 108.48580837414252 -8.474389076666114
 143.6414 126.73034946217619 15.134735531027161
 143.6414 154.69088102034334 52.90358651952255
 143.6414 128.8783296096084 7.077914560571259
 143.6414 229.71542696666967 191.005269720854
 143.6414 158.44420801887696 46.72926779634926
 143.6414 -166.9202007727679 39.642892801499386
 143.6414 -145.101555323569 36.25515936158257
 143.6414 -122.7077731365138 14.973065679751073
 143.6414 -188.6053138373344 115.29036335343824
 143.6414 -143.5042625484595 68.11966195638615
 143.6414 -173.23790180269776 110.55217219314522
 143.6414 -213.66670537693108 172.87121796951357
 143.6414 -276.7222105755711 270.3340153078394
 143.6414 -359.4178124065254 404.4303402000542
 143.6414 0.7358999288409523 49.10755310498956
 143.6414 5.81862534536652 48.542765094006114
 143.6414 114.93410757594236 0.46864207398374447
 143.6414 135.19443901419055 27.512337536616513
 143.6414 160.6099187106918 65.96979380165786
 143.6414 183.17205035146242 116.23757544697818
 143.6414 185.29335398367974 98.16812511495908
 143.6414 160.19139187130966 44.197200337166464
 144.5374 -169.4969260494797 45.26494766729061
 144.5374 -163.43418088327496 47.688358374402014
 144.5374 -148.8980812730768 37.547512984989936
 144.5374 -123.11712388861977 13.842871992519576
 144.5374 -137.2975085138272 41.8164885144476
 144.5374 -158.22711320181688 69.23300772879713
 144.5374 -136.88225876393352 57.18368760079585
 144.5374 -163.75710077242036 91.66810371678847
 144.5374 -197.84295770255278 140.8164885144476
 144.5374 -241.65854880821004 215.14078230041304
 144.5374 -311.8819460851863 324.8910799313134
 144.5374 0.7925545300829904 49.21139070968189
 144.5374 7.80505317645846 50.096382749278064
 144.5374 101.24180292529857 -20.99799372963696
 144.5374 116.29446086380185 2.023116971254325
 144.5374 131.5848910158381 21.769945886114215
 144.5374 155.6948346702781 58.93724998639277
 144.5374 157.16819336252712 36.35984014211709
 144.5374 158.31071229569733 32.96327261412685
 145.4334 -164.55716159690303 51.576345635680525
 145.4334 -127.85902197542033 23.23167341324185
 145.4334 -140.47707415253387 48.52924928225309
 145.4334 -158.19262641823923 71.74537312130667
 145.4334 -186.24452058377653 107.82210641910879
 145.4334 -138.20730345920364 59.360240996724
 145.4334 -160.2215874803166 83.46018179341024
 145.4334 -187.6693827749095 125.26187131226163
 145.4334 -219.2843211182302 178.56732806544474
 145.4334 -270.6568710603764 259.9159644939649
 145.4334 -347.1868018935019 384.83876850068805
 145.4334 -24.775727770237815 57.229321243300035
 145.4334 2.60898505545181 49.803614657117464
 145.4334 33.309129884268685 58.11765573529149
 146.3294 103.13785776330961 -20.322562555603014
 146.3294 118.77796428792738 4.14495180006972
 146.3294 134.85589875704068 25.54266128153114
 146.3294 152.33887119722948 52.9173827266938
